family,winding_ratio,suggested_order
curve,1.192852,2
curve,1.123249,2
curve,1.103699,2
curve,1.156056,2
curve,1.207184,2
curve,1.111359,2
curve,1.157371,2
curve,1.217806,2
curve,1.112250,2
curve,1.186785,2
curve,1.231046,2
curve,1.131490,2
curve,1.149241,2
curve,1.292594,2
curve,1.254497,2
curve,1.258589,2
curve,1.102683,2
curve,1.242671,2
curve,1.124259,2
curve,1.197361,2
curve,1.152255,2
curve,1.205686,2
curve,1.124038,2
curve,1.139384,2
curve,1.175940,2
curve,1.104563,2
curve,1.121151,2
curve,1.207080,2
curve,1.267905,2
curve,1.191429,2
curve,1.168277,2
curve,1.181630,2
curve,1.167322,2
curve,1.175269,2
curve,1.260266,2
curve,1.247224,2
curve,1.118099,2
curve,1.209895,2
curve,1.216329,2
curve,1.116739,2
curve,1.223974,2
curve,1.275481,2
curve,1.282745,2
curve,1.286887,2
curve,1.122164,2
curve,1.120645,2
curve,1.218841,2
curve,1.240137,2
curve,1.258335,2
curve,1.109880,2
curve,1.319812,2
curve,1.184758,2
curve,1.258812,2
curve,1.185499,2
curve,1.159709,2
curve,1.178230,2
curve,1.164577,2
curve,1.106433,2
curve,1.132964,2
curve,1.251932,2
curve,1.238791,2
curve,1.333431,2
curve,1.214861,2
curve,1.206903,2
curve,1.196009,2
curve,1.123171,2
curve,1.180459,2
curve,1.242298,2
curve,1.213372,2
curve,1.192324,2
curve,1.160519,2
curve,1.181630,2
curve,1.152635,2
curve,1.183695,2
curve,1.213333,2
curve,1.120707,2
curve,1.224132,2
curve,1.210081,2
curve,1.183508,2
curve,1.166496,2
curve,1.153778,2
curve,1.291846,2
curve,1.206968,2
curve,1.183680,2
curve,1.170711,2
curve,1.175950,2
curve,1.111386,2
curve,1.110632,2
curve,1.161579,2
curve,1.178987,2
curve,1.121624,2
curve,1.106623,2
curve,1.156008,2
curve,1.287326,2
curve,1.111602,2
curve,1.308838,2
curve,1.120816,2
curve,1.134397,2
curve,1.138902,2
curve,1.243438,2
curve,1.131857,2
curve,1.160418,2
curve,1.105233,2
curve,1.247767,2
curve,1.110981,2
curve,1.208771,2
curve,1.233347,2
curve,1.163166,2
curve,1.114452,2
curve,1.293899,2
curve,1.177449,2
curve,1.174271,2
curve,1.233035,2
curve,1.183815,2
curve,1.191659,2
curve,1.198736,2
curve,1.225360,2
curve,1.284748,2
curve,1.228590,2
curve,1.173711,2
curve,1.284936,2
curve,1.284176,2
curve,1.201864,2
curve,1.163848,2
curve,1.179306,2
curve,1.190405,2
curve,1.121300,2
curve,1.154641,2
curve,1.119827,2
curve,1.206422,2
curve,1.292771,2
curve,1.143316,2
curve,1.222841,2
curve,1.128006,2
curve,1.112384,2
curve,1.176121,2
curve,1.263560,2
curve,1.217761,2
curve,1.163118,2
curve,1.314755,2
curve,1.106229,2
curve,1.203645,2
curve,1.187019,2
curve,1.198651,2
curve,1.151200,2
curve,1.200301,2
curve,1.296651,2
curve,1.125476,2
curve,1.314252,2
curve,1.193633,2
curve,1.145333,2
curve,1.187469,2
curve,1.156060,2
curve,1.151138,2
curve,1.147497,2
curve,1.133061,2
curve,1.250126,2
curve,1.115858,2
curve,1.163197,2
curve,1.169290,2
curve,1.217380,2
curve,1.210715,2
curve,1.256527,2
curve,1.170255,2
curve,1.228120,2
curve,1.197624,2
curve,1.222536,2
curve,1.239333,2
curve,1.203291,2
curve,1.137300,2
curve,1.196571,2
curve,1.145783,2
curve,1.317684,2
curve,1.112025,2
curve,1.180738,2
curve,1.282613,2
curve,1.183200,2
curve,1.162357,2
curve,1.200226,2
curve,1.148148,2
curve,1.237798,2
curve,1.157839,2
curve,1.171382,2
curve,1.199248,2
curve,1.283909,2
curve,1.213657,2
spiral,4.125774,3
spiral,3.668854,3
spiral,3.927492,3
spiral,4.679173,3
spiral,4.184145,3
spiral,4.956251,3
spiral,5.138409,3
spiral,4.023759,3
spiral,3.770424,3
spiral,4.889095,3
spiral,5.455068,3
spiral,4.422198,3
spiral,4.355004,3
spiral,4.358124,3
spiral,3.552891,3
spiral,6.303331,3
spiral,4.380062,3
spiral,3.888059,3
spiral,3.886048,3
spiral,5.915455,3
spiral,5.974153,3
spiral,4.908766,3
spiral,5.533022,3
spiral,4.304167,3
spiral,4.129588,3
spiral,4.570761,3
spiral,4.526003,3
spiral,4.366186,3
spiral,3.884763,3
spiral,5.017300,3
spiral,4.299335,3
spiral,4.245937,3
spiral,3.359621,3
spiral,4.159370,3
spiral,4.354408,3
spiral,3.256388,3
spiral,3.977449,3
spiral,4.936508,3
spiral,4.485350,3
spiral,4.348485,3
spiral,3.750975,3
spiral,4.317866,3
spiral,4.090477,3
spiral,3.368595,3
spiral,5.808513,3
spiral,5.429273,3
spiral,4.439185,3
spiral,4.800442,3
spiral,4.004271,3
spiral,5.030246,3
spiral,3.462862,3
spiral,4.113065,3
spiral,4.180624,3
spiral,4.065974,3
spiral,3.912153,3
spiral,4.008608,3
spiral,5.643027,3
spiral,3.964344,3
spiral,3.790267,3
spiral,4.136372,3
spiral,5.795440,3
spiral,4.095702,3
spiral,4.052493,3
spiral,4.918850,3
spiral,4.837132,3
spiral,4.511774,3
spiral,4.868393,3
spiral,4.526107,3
spiral,5.527915,3
spiral,5.347879,3
spiral,7.398244,3
spiral,5.432104,3
spiral,4.247822,3
spiral,6.526921,3
spiral,4.322929,3
spiral,3.458383,3
spiral,4.666923,3
spiral,4.820050,3
spiral,3.752673,3
spiral,6.208627,3
spiral,3.913531,3
spiral,4.083399,3
spiral,4.765763,3
spiral,4.893079,3
spiral,4.423447,3
spiral,4.833149,3
spiral,5.508733,3
spiral,5.560565,3
spiral,4.658829,3
spiral,4.304231,3
spiral,3.672452,3
spiral,4.914443,3
spiral,6.987343,3
spiral,4.145014,3
spiral,4.595775,3
spiral,5.064383,3
spiral,5.844295,3
spiral,3.607599,3
spiral,4.120087,3
spiral,4.091954,3
spiral,3.837095,3
spiral,4.004310,3
spiral,4.900828,3
spiral,5.465414,3
spiral,4.748186,3
spiral,5.718601,3
spiral,4.789742,3
spiral,5.122829,3
spiral,3.817990,3
spiral,5.531684,3
spiral,3.994483,3
spiral,3.858997,3
spiral,5.622356,3
spiral,5.402553,3
spiral,4.929780,3
spiral,4.086422,3
spiral,3.909579,3
spiral,3.237602,3
spiral,4.493121,3
spiral,4.030278,3
spiral,3.921332,3
spiral,4.372876,3
spiral,4.220711,3
spiral,4.105883,3
spiral,6.081260,3
spiral,3.861620,3
spiral,4.747912,3
spiral,4.964745,3
spiral,4.283330,3
spiral,3.901145,3
spiral,3.583589,3
spiral,5.074459,3
spiral,3.880581,3
spiral,3.901951,3
spiral,4.379076,3
spiral,4.330217,3
spiral,4.657205,3
spiral,5.280449,3
spiral,5.354067,3
spiral,3.905849,3
spiral,3.879555,3
spiral,4.929585,3
spiral,4.140349,3
spiral,3.940949,3
spiral,4.440512,3
spiral,4.125231,3
spiral,4.428296,3
spiral,4.580520,3
spiral,4.767389,3
spiral,4.434735,3
spiral,3.798968,3
spiral,6.412888,3
spiral,5.536895,3
spiral,5.446771,3
spiral,3.902490,3
spiral,4.212423,3
spiral,6.042185,3
spiral,5.977840,3
spiral,3.602840,3
spiral,3.973634,3
spiral,4.120259,3
spiral,3.821046,3
spiral,3.980065,3
spiral,4.119688,3
spiral,5.498692,3
spiral,4.399489,3
spiral,3.916049,3
spiral,5.341984,3
spiral,4.079628,3
spiral,4.011049,3
spiral,3.505054,3
spiral,3.863383,3
spiral,3.699127,3
spiral,4.566908,3
spiral,5.295346,3
spiral,4.176367,3
spiral,4.620316,3
spiral,5.245080,3
spiral,5.195794,3
spiral,4.243012,3
spiral,5.004363,3
spiral,5.965847,3
spiral,4.177882,3
spiral,4.053134,3
spiral,4.826703,3
spiral,4.674536,3
spiral,5.719419,3
spiral,4.776445,3
spiral,3.931054,3
spiral,4.391559,3
spiral,3.633972,3
spiral,3.966421,3
spiral,4.253409,3
spiral,4.759661,3
spiral,4.880602,3
spiral,4.925854,3
spiral,4.708702,3
spiral,4.107830,3
spiral,4.145203,3
spiral,4.207758,3
