family,winding_ratio,suggested_order
spiral,3.471920,3
spiral,2.684787,3
spiral,3.863275,3
spiral,3.213316,3
spiral,2.775637,3
spiral,3.812485,3
spiral,2.468812,3
spiral,2.839112,3
spiral,3.637128,3
spiral,3.082423,3
spiral,2.998359,3
spiral,2.480490,3
spiral,2.438899,3
spiral,3.664437,3
spiral,3.345598,3
spiral,3.769998,3
spiral,3.229390,3
spiral,2.794830,3
spiral,3.102218,3
spiral,2.988168,3
spiral,3.177172,3
spiral,4.281941,3
spiral,2.489286,3
spiral,2.757656,3
spiral,2.758942,3
spiral,3.386741,3
spiral,3.073058,3
spiral,4.110655,3
spiral,2.923395,3
spiral,3.743744,3
spiral,2.462475,3
spiral,2.746410,3
spiral,2.985343,3
spiral,2.529104,3
spiral,3.503964,3
spiral,3.408280,3
spiral,2.593407,3
spiral,2.627464,3
spiral,2.525355,3
spiral,2.889256,3
spiral,2.628198,3
spiral,2.712898,3
spiral,3.327670,3
spiral,2.442667,3
spiral,2.548377,3
spiral,4.280511,3
spiral,2.514631,3
spiral,3.966318,3
spiral,3.689498,3
spiral,4.349185,3
spiral,3.799425,3
spiral,4.281225,3
spiral,3.239425,3
spiral,3.829180,3
spiral,3.484300,3
spiral,4.377383,3
spiral,2.670265,3
spiral,3.741744,3
spiral,3.940383,3
spiral,2.880412,3
spiral,2.638700,3
spiral,2.460810,3
spiral,2.712209,3
spiral,3.892723,3
spiral,2.904097,3
spiral,3.890528,3
spiral,2.840256,3
spiral,3.996471,3
spiral,4.379644,3
spiral,2.758018,3
spiral,2.459492,3
spiral,3.712760,3
spiral,2.498679,3
spiral,2.583737,3
spiral,2.872550,3
spiral,2.947192,3
spiral,2.825334,3
spiral,4.027566,3
spiral,2.941497,3
spiral,2.715973,3
spiral,4.283969,3
spiral,3.097281,3
spiral,2.521977,3
spiral,3.690558,3
spiral,2.472300,3
spiral,4.083035,3
spiral,3.626350,3
spiral,3.517619,3
spiral,2.631341,3
spiral,3.568702,3
spiral,2.611416,3
spiral,3.237119,3
spiral,2.776462,3
spiral,3.659174,3
spiral,2.832059,3
spiral,4.299210,3
spiral,2.833982,3
spiral,3.036121,3
spiral,3.638970,3
spiral,2.908638,3
spiral,3.133151,3
spiral,3.576203,3
spiral,3.758786,3
spiral,2.580034,3
spiral,3.738878,3
spiral,2.570092,3
spiral,4.005589,3
spiral,3.697154,3
spiral,2.683773,3
spiral,3.654444,3
spiral,2.481312,3
spiral,3.792036,3
spiral,2.835181,3
spiral,3.237200,3
spiral,3.095231,3
spiral,3.049880,3
spiral,2.521104,3
spiral,2.925332,3
spiral,4.533972,3
spiral,2.402353,3
spiral,2.883909,3
spiral,2.647500,3
spiral,2.869413,3
spiral,3.581487,3
spiral,2.506041,3
spiral,3.197268,3
spiral,4.112072,3
spiral,2.684028,3
spiral,2.586681,3
spiral,3.780707,3
spiral,3.714206,3
spiral,2.836680,3
spiral,4.123329,3
spiral,3.330359,3
spiral,2.543739,3
spiral,3.468130,3
spiral,3.804074,3
spiral,3.067981,3
spiral,4.213547,3
spiral,2.433907,3
spiral,4.226540,3
spiral,2.940444,3
spiral,2.923064,3
spiral,3.089853,3
spiral,3.372818,3
spiral,3.578163,3
spiral,2.603569,3
spiral,3.317464,3
spiral,2.785655,3
spiral,2.756368,3
spiral,2.871312,3
spiral,3.875937,3
spiral,3.504403,3
spiral,3.058445,3
spiral,2.481950,3
spiral,3.048677,3
spiral,2.475676,3
spiral,3.822534,3
spiral,3.329831,3
spiral,3.427264,3
spiral,4.355815,3
spiral,2.511845,3
spiral,3.151516,3
spiral,2.500051,3
spiral,2.922907,3
spiral,3.072189,3
spiral,3.588903,3
spiral,3.416975,3
spiral,4.338370,3
spiral,3.045624,3
spiral,3.697462,3
spiral,3.923499,3
spiral,2.700782,3
spiral,2.638543,3
spiral,3.679476,3
spiral,2.441708,3
spiral,4.196490,3
spiral,3.508436,3
spiral,2.862070,3
spiral,3.506329,3
spiral,2.770272,3
spiral,2.504738,3
spiral,2.540060,3
spiral,3.134314,3
spiral,3.311623,3
spiral,3.234499,3
spiral,2.544432,3
spiral,3.799893,3
spiral,2.487230,3
spiral,3.389784,3
spiral,2.915098,3
spiral,3.158618,3
spiral,3.015630,3
spiral,2.873292,3
spiral,3.697826,3
